pos_x,pos_z,pos_y,vel_posicao,vel_rotacao,mirando
7965.31,3287.18,6.22787,0.0,0.0,0
7965.31,3287.18,6.22787,0.0,0.0,0
7965.31,3287.18,6.22787,0.0,0.0,0
7965.31,3287.18,6.22787,0.0,0.0,0
7965.31,3287.18,6.22787,0.0,0.0,0
7965.31,3287.18,6.22787,0.0,0.0,0
7965.31,3287.18,6.22787,0.0,0.0,0
7965.31,3287.18,6.22787,0.0,0.0,0
7965.31,3287.18,6.22787,0.0,0.0,0
7965.31,3287.18,6.22787,0.0,0.5345832551710898,0
7965.31,3287.18,6.22787,0.0,0.24546418051791585,0
7965.66,3287.8,6.24239,0.7119691004531352,0.1613661341433823,0
7963.95,3289.84,6.02493,2.6618978192259704,0.8832890937313158,0
7960.69,3286.27,6.02499,4.834511350695393,0.8193123812054735,0
7958.06,3285.18,6.025,2.846928169096668,0.1429140035185461,0
7956.1,3283.04,6.02499,2.901930391997644,0.8318302640099022,0
7955.79,3277.94,6.02488,5.109412882122497,0.5528430195724003,0
7955.45,3273.51,6.25471,4.44302824659023,0.09770348720921643,0
7955.45,3273.49,6.25471,0.020000000000436557,0.015829275938248344,0
7955.41,3270.44,6.25465,3.0502622838041864,0.07858011668285503,0
7955.86,3267.24,6.25467,3.23148572641155,0.30302431960054577,0
7955.48,3266.34,6.25467,0.9769339793452924,0.13520133206902019,0
7953.88,3267.79,6.25467,2.159282288168392,2.352944713636587,0
7954.75,3269.83,6.25464,2.21776914939307,1.834197683604798,0
7958.18,3269.17,6.25469,3.49292141337331,1.1012757593343858,0
7958.21,3266.38,6.25463,2.790161285660702,0.9529020534498429,0
7957.2,3266.39,6.25465,1.0100495037375328,1.264483587583314,0
7956.9,3265.96,6.25464,0.524309069156703,0.18306374410509063,0
7957.09,3266.34,6.25465,0.4248529157252854,1.4107631863750507,0
7959.32,3269.18,6.25468,3.610886317789068,0.0965108669340119,0
7959.59,3269.5,6.25468,0.4186884283095731,1.6495939791876126,0
7954.98,3271.16,6.25462,4.899765300502146,0.5671707112156226,0
7956.72,3276.99,6.02499,6.084118670769133,1.3100544288067495,0
7959.14,3280.12,6.02498,3.9564251541007365,0.9501401295734258,0
7957.48,3280.62,6.02492,1.7336666346222784,0.3949935448937384,0
7959.07,3283.87,6.02499,3.618093420573944,1.48131862352067,0
7965.12,3283.25,6.02488,6.081685621602128,1.3237990577934644,0
7969.66,3278.52,6.02499,6.556256553857532,0.8085383212705299,0
7969.77,3271.88,6.02498,6.640911082072883,0.00019813359268727737,0
7968.78,3265.02,6.02496,6.93106773881219,0.0,0
7967.89,3258.83,6.02007,6.2536549313181355,0.00921335522645661,0
7966.94,3251.97,6.02789,6.925467493245717,0.0009468285514553364,0
7967.21,3248.8,6.02972,3.1814776441141017,1.8832593395923791,1
7967.09,3246.44,6.10786,2.36304887803883,0.7358908880390478,1
7966.13,3244.98,6.10657,1.7473408368146657,0.2967036926148441,0
7965.58,3239.92,6.06643,5.089803532554046,1.1477288682942979,0
7962.24,3233.61,6.07571,7.139446757277505,0.06041928171199418,0
7959.06,3227.7,6.14783,6.711221945368795,1.3548616024650073e-06,0
7956.54,3222.24,6.25918,6.013484846576285,0.18292833086832871,0
7954.91,3215.3,6.52097,7.128849837105197,0.6242485511266518,0
7953.66,3208.74,6.89786,6.678031146977771,0.4500343785155921,0
7953.3,3202.26,7.18897,6.4899922958347265,0.3770990349933845,0
7952.64,3195.76,7.11815,6.533421768108945,0.7627161125929806,0
7949.78,3189.98,7.07078,6.448875871034086,0.7331192780933298,0
7949.04,3184.63,6.97414,5.400935104220259,1.7215106521686778,0
7948.32,3181.6,6.93398,3.1143699202248887,0.1754682620207222,0
7949.05,3178.88,6.91759,2.816256380374415,0.49932538803032567,0
7950.73,3176.44,6.91503,2.962431433805378,1.0484212463842852,0
7952.5,3171.4,6.88285,5.341769369787615,0.6302918325913707,0
7955.04,3165.5,6.83744,6.423519284629018,0.8897053240932653,0
7955.3,3159.39,5.90919,6.115529412896455,1.4489134075013166,0
7951.46,3155.43,5.04999,5.516085568589506,0.1582857254865977,0
7953.91,3148.73,4.62627,7.1338979527322,1.6216209375488086,0
7957.98,3143.99,4.31172,6.247599539022957,0.7957574956133855,0
7958.79,3137.39,4.57709,6.649518779580929,0.23846903629878868,0
7959.11,3135.81,5.75708,1.6120794025108018,0.02454760378056386,0
7959.04,3135.49,6.07785,0.32756678708328174,0.09372718353479417,0
7959.04,3135.37,5.96737,0.11999999999989086,0.06243256485473303,0
7959.08,3131.79,5.9674,3.5802234567132083,0.023242334331279115,0
7959.11,3129.66,6.19604,2.1302112571293135,0.006308356782304347,0
7959.09,3129.54,6.8071,0.12165525060577899,0.010065855439775251,0
7959.46,3128.34,6.74088,1.255746789762762,1.8899768659941991,1
7959.85,3127.24,6.27895,1.167090399241231,0.09238560985516475,0
7959.55,3127.92,6.18096,0.7432361670428216,0.0023021956718203285,0
7959.55,3127.92,6.18096,0.0,0.0,0
7961.95,3124.89,6.26178,3.8653460388430254,1.2220874587562778,0
7965.21,3122.75,7.8959,3.8996410091187723,0.41135125570128706,0
7965.6,3123.65,8.12388,0.9808669634565225,0.16376829492168365,0
7965.63,3123.69,8.11365,0.0499999999998181,0.0,0
7964.81,3124.37,7.36736,1.0652699188465335,0.15906049276795953,0
7963.33,3121.54,6.24791,3.193634293403205,0.6829423604167841,0
7964.86,3115.11,6.22257,6.609523432139198,0.4257919804243153,0
7969.01,3109.88,6.21496,6.6764811090876846,0.5450381910287851,0
7975.25,3109.2,6.19662,6.2769419305899,1.3800899604073544,0
7980.56,3109.56,6.19182,5.322189399110515,0.4516406592600127,0
7983.75,3114.53,6.12501,5.905675236583873,1.1615127344303005,0
7984.7,3120.98,6.20247,6.519585876418633,1.0313017409129202,0
7981.44,3121.42,6.3476,3.2895592409928525,1.5510861180410664,0
7980.12,3121.47,6.22827,1.3209466302614972,1.6929565882348627,0
7980.12,3121.47,6.22828,0.0,0.0,0
7980.12,3121.47,6.22828,0.0,1.4241840146960847,0
7980.12,3121.47,6.22828,0.0,0.6467756408797506,0
7981.26,3121.35,6.29789,1.1462983904728823,0.1557177000504686,0
7981.15,3121.37,6.2225,0.11180339887555892,0.5427755085162861,0
7979.55,3120.39,6.22589,1.8762729012588466,0.07917574425766416,0
7980.2,3122.83,6.23148,2.5250940576540497,0.4922542714174277,0
7980.38,3122.22,6.2289,0.6360031446465183,0.7361569726182797,0
7979.55,3120.63,6.22653,1.793599732381474,0.24859012109086454,0
7979.66,3120.22,6.22543,0.42449970553603633,0.9691430170996269,0
7979.55,3120.22,6.22544,0.10999999999967258,0.14054606172601747,0
7979.55,3120.23,6.22546,0.010000000000218279,0.0,0
7979.55,3120.23,6.22547,0.0,0.0,0
7979.55,3120.23,6.22547,0.0,0.0,0
7979.55,3120.23,6.22547,0.0,0.0,0
7979.55,3120.23,6.22547,0.0,0.0,0
7979.55,3120.23,6.22547,0.0,0.0,0
7979.55,3120.23,6.22547,0.0,0.0,0
7979.55,3120.23,6.22547,0.0,0.0,0
7979.55,3120.23,6.22547,0.0,0.0,0
7979.55,3120.23,6.22547,0.0,0.0,0
7979.55,3120.23,6.22547,0.0,0.0,0
7979.55,3120.23,6.22547,0.0,0.0,0
7979.55,3120.23,6.22547,0.0,0.0,0
7979.55,3120.23,6.22547,0.0,0.0,0
7979.55,3120.23,6.22547,0.0,0.0,0
7979.55,3120.23,6.22547,0.0,0.0,0
7979.55,3120.23,6.22547,0.0,0.0,0
7979.55,3120.23,6.22547,0.0,0.0,0
7979.55,3120.23,6.22547,0.0,0.0,0
7979.55,3120.23,6.22547,0.0,0.0,0
7980.72,3120.88,6.22346,1.338431918328418,0.19677292924814146,0
7980.31,3120.56,6.22484,0.5200961449578198,0.013436857072225306,0
7979.54,3120.22,6.22543,0.8417244204612168,3.4824608922123805e-06,0
7979.54,3120.22,6.22543,0.0,0.0,0
7979.54,3120.22,6.22543,0.0,0.0,0
7979.54,3120.22,6.22543,0.0,0.0,0
7979.55,3120.69,6.2267,0.4701063709419856,0.0,0
7979.58,3122.49,6.23154,1.8002499826410228,0.6614723507417721,0
7979.7,3120.46,6.22608,2.033543704964056,0.0007663223652922824,0
7979.7,3120.46,6.22608,0.0,0.0,0
7979.7,3120.46,6.22608,0.0,0.0,0
7979.7,3120.46,6.22608,0.0,0.6733640053859401,0
7979.7,3120.46,6.22608,0.0,0.0,0
7979.7,3120.46,6.22608,0.0,0.0,0
7979.7,3120.46,6.22608,0.0,0.0,0
7979.74,3120.52,6.22623,0.0721110255092142,0.0,0
7979.74,3120.52,6.22623,0.0,0.0,0
7979.55,3120.79,6.22696,0.3301514803841384,0.0009318680155232518,0
7980.26,3121.1,6.22657,0.7747257579298741,0.34664417287055516,0
7980.79,3121.11,6.22375,0.5300943312276925,0.0070537341600279135,0
7980.78,3121.11,6.22379,0.010000000000218279,0.06345000891165618,0
7980.35,3121.79,6.22793,0.8045495634199583,0.11965483970840313,0
7981.19,3122.46,6.2252,1.074476616776193,1.670853325466255,0
7981.16,3122.34,6.22505,0.12369316876836217,0.07448058296550597,0
7980.29,3122.57,6.23028,0.8998888820292306,2.9909810901188627,0
7980.29,3122.57,6.23028,0.0,0.0,0
7980.29,3122.57,6.23028,0.0,0.0,0
7980.26,3122.59,6.23052,0.036055512754417915,0.0,0
7980.26,3122.59,6.23052,0.0,0.0,0
7980.26,3122.59,6.23052,0.0,0.0,0
